DATE,SHIFT,ROUTE,TOTAL
16,OUT 4AM,Alabang,0
16,OUT 4AM,Binan,0
16,OUT 4AM,Carmona,0
16,OUT 4AM,Balibago,30
16,OUT 4AM,Tagapo,101
16,OUT 4AM,Cabuyao,49
16,OUT 4AM,Calamba,330
16,IN 7AM,Alabang,717
16,IN 7AM,Binan,0
16,IN 7AM,Carmona,0
16,IN 7AM,Balibago,10
16,IN 7AM,Tagapo,27
16,IN 7AM,Cabuyao,11
16,IN 7AM,Calamba,122
16,OUT 7AM,Alabang,239
16,OUT 7AM,Binan,0
16,OUT 7AM,Carmona,0
16,OUT 7AM,Balibago,14
16,OUT 7AM,Tagapo,35
16,OUT 7AM,Cabuyao,21
16,OUT 7AM,Calamba,145
16,OUT 4PM,Alabang,326
16,OUT 4PM,Binan,0
16,OUT 4PM,Carmona,0
16,OUT 4PM,Balibago,0
16,OUT 4PM,Tagapo,0
16,OUT 4PM,Cabuyao,0
16,OUT 4PM,Calamba,0
16,OUT 6PM,Alabang,0
16,OUT 6PM,Binan,0
16,OUT 6PM,Carmona,0
16,OUT 6PM,Balibago,12
16,OUT 6PM,Tagapo,26
16,OUT 6PM,Cabuyao,11
16,OUT 6PM,Calamba,116
16,IN 7PM,Alabang,230
16,IN 7PM,Binan,0
16,IN 7PM,Carmona,0
16,IN 7PM,Balibago,18
16,IN 7PM,Tagapo,52
16,IN 7PM,Cabuyao,24
16,IN 7PM,Calamba,181
16,OUT 7PM,Alabang,363
16,OUT 7PM,Binan,0
16,OUT 7PM,Carmona,0
16,OUT 7PM,Balibago,0
16,OUT 7PM,Tagapo,0
16,OUT 7PM,Cabuyao,0
16,OUT 7PM,Calamba,0
16,IN 10PM,Alabang,0
16,IN 10PM,Binan,0
16,IN 10PM,Carmona,0
16,IN 10PM,Balibago,42
16,IN 10PM,Tagapo,127
16,IN 10PM,Cabuyao,60
16,IN 10PM,Calamba,446
17,OUT 4AM,Alabang,0
17,OUT 4AM,Binan,0
17,OUT 4AM,Carmona,0
17,OUT 4AM,Balibago,23
17,OUT 4AM,Tagapo,68
17,OUT 4AM,Cabuyao,40
17,OUT 4AM,Calamba,240
17,IN 7AM,Alabang,497
17,IN 7AM,Binan,0
17,IN 7AM,Carmona,0
17,IN 7AM,Balibago,12
17,IN 7AM,Tagapo,26
17,IN 7AM,Cabuyao,11
17,IN 7AM,Calamba,116
17,OUT 7AM,Alabang,230
17,OUT 7AM,Binan,0
17,OUT 7AM,Carmona,0
17,OUT 7AM,Balibago,8
17,OUT 7AM,Tagapo,12
17,OUT 7AM,Cabuyao,5
17,OUT 7AM,Calamba,37
17,OUT 4PM,Alabang,84
17,OUT 4PM,Binan,0
17,OUT 4PM,Carmona,0
17,OUT 4PM,Balibago,0
17,OUT 4PM,Tagapo,0
17,OUT 4PM,Cabuyao,0
17,OUT 4PM,Calamba,0
17,OUT 6PM,Alabang,0
17,OUT 6PM,Binan,0
17,OUT 6PM,Carmona,0
17,OUT 6PM,Balibago,7
17,OUT 6PM,Tagapo,22
17,OUT 6PM,Cabuyao,6
17,OUT 6PM,Calamba,88
17,IN 7PM,Alabang,168
17,IN 7PM,Binan,0
17,IN 7PM,Carmona,0
17,IN 7PM,Balibago,9
17,IN 7PM,Tagapo,39
17,IN 7PM,Cabuyao,22
17,IN 7PM,Calamba,127
17,OUT 7PM,Alabang,254
17,OUT 7PM,Binan,0
17,OUT 7PM,Carmona,0
17,OUT 7PM,Balibago,0
17,OUT 7PM,Tagapo,0
17,OUT 7PM,Cabuyao,0
17,OUT 7PM,Calamba,0
17,IN 10PM,Alabang,0
17,IN 10PM,Binan,0
17,IN 10PM,Carmona,0
